Name,Label,Canton_name
Aadorf,18,Thurgau
Aarau,10,Aargau
Aarberg,17,Bern
Aarburg,10,Aargau
Aarwangen,17,Bern
Abtwil,10,Aargau
Aclens,14,Vaud
Acquarossa,13,Ticino
Adelboden,17,Bern
Adligenswil,2,Luzern
Adlikon,1,Zürich
Adliswil,1,Zürich
Aedermannsdorf,3,Solothurn
Aefligen,17,Bern
Aegerten,17,Bern
Aesch (BL),22,Basel-Landschaft
Aesch (LU),2,Luzern
Aesch (ZH),1,Zürich
Aeschi (SO),3,Solothurn
Aeschi bei Spiez,17,Bern
Aeugst am Albis,1,Zürich
Affeltrangen,18,Thurgau
Affoltern am Albis,1,Zürich
Affoltern im Emmental,17,Bern
Agarn,5,Valais
Agiez,14,Vaud
Agno,13,Ticino
Aigle,14,Vaud
Aire-la-Ville,12,Geneva
Airolo,13,Ticino
Alberswil,2,Luzern
Albinen,5,Valais
Albula/Alvra,9,Graubünden
Alchenstorf,17,Bern
Allaman,14,Vaud
Alle,24,Jura
Allmendingen,17,Bern
Allschwil,22,Basel-Landschaft
Alpnach,16,Obwalden
Alpthal,4,Schwyz
Altbüron,2,Luzern
Altdorf (UR),6,Uri
Altendorf,4,Schwyz
Alterswil,25,Fribourg
Altikon,1,Zürich
Altishofen,2,Luzern
Altnau,18,Thurgau
Alto Malcantone,13,Ticino
Altstätten,15,St. Gallen
Altwis,2,Luzern
Amden,15,St. Gallen
Amlikon-Bissegg,18,Thurgau
Ammerswil,10,Aargau
Amriswil,18,Thurgau
Amsoldingen,17,Bern
Andeer,9,Graubünden
Andelfingen,1,Zürich
Andermatt,6,Uri
Andiast,9,Graubünden
Andwil (SG),15,St. Gallen
Anières,12,Geneva
Anniviers,5,Valais
Anwil,22,Basel-Landschaft
Appenzell,19,Appenzell Innerrhoden
Apples,14,Vaud
Aranno,13,Ticino
Arbaz,5,Valais
Arbedo-Castione,13,Ticino
Arboldswil,22,Basel-Landschaft
Arbon,18,Thurgau
Arch,17,Bern
Arconciel,25,Fribourg
