Name,Label,Canton_name
Aadorf,23,Frauenfeld
Aarau,20,Aarau
Aarberg,16,Bern
Aarburg,13,Solothurn
Aarwangen,16,Bern
Abtwil,4,Luzern
Aclens,9,Lausanne
Acquarossa,12,Lugano
Adelboden,16,Bern
Adligenswil,4,Luzern
Adlikon,5,Zürich
Adliswil,5,Zürich
Aedermannsdorf,13,Solothurn
Aefligen,16,Bern
Aegerten,16,Bern
Aesch (BL),3,Basel
Aesch (LU),20,Aarau
Aesch (ZH),20,Aarau
Aeschi (SO),16,Bern
Aeschi bei Spiez,16,Bern
Aeugst am Albis,5,Zürich
Affeltrangen,23,Frauenfeld
Affoltern am Albis,5,Zürich
Affoltern im Emmental,16,Bern
Agarn,6,Sion
Agiez,9,Lausanne
Agno,12,Lugano
Aigle,6,Sion
Aire-la-Ville,10,Genève
Airolo,15,Chur
Alberswil,4,Luzern
Albinen,6,Sion
Albula/Alvra,15,Chur
Alchenstorf,16,Bern
Allaman,9,Lausanne
Alle,18,Delémont
Allmendingen,16,Bern
Allschwil,3,Basel
Alpnach,4,Luzern
Alpthal,7,Rapperswil-Jona
Altbüron,4,Luzern
Altdorf (UR),0,Altdorf (UR)
Altendorf,7,Rapperswil-Jona
Alterswil,19,Fribourg
Altikon,23,Frauenfeld
Altishofen,4,Luzern
Altnau,23,Frauenfeld
Alto Malcantone,12,Lugano
Altstätten,21,St. Gallen
Altwis,20,Aarau
Amden,21,St. Gallen
Amlikon-Bissegg,23,Frauenfeld
Ammerswil,20,Aarau
Amriswil,23,Frauenfeld
Amsoldingen,16,Bern
Andeer,15,Chur
Andelfingen,5,Zürich
Andermatt,15,Chur
Andiast,15,Chur
Andwil (SG),21,St. Gallen
Anières,10,Genève
Anniviers,6,Sion
Anwil,20,Aarau
Appenzell,21,St. Gallen
Apples,9,Lausanne
Aranno,12,Lugano
Arbaz,6,Sion
Arbedo-Castione,12,Lugano
Arboldswil,3,Basel
Arbon,21,St. Gallen
Arch,13,Solothurn
Arconciel,19,Fribourg
Ardon,6,Sion
Arisdorf,3,Basel
Aristau,20,Aarau
Arlesheim,3,Basel
Arnex-sur-Nyon,9,Lausanne
Arnex-sur-Orbe,9,Lausanne
Arni (AG),20,Aarau
Arni (BE),16,Bern
Arogno,12,Lugano
Arosa,15,Chur
Arth,4,Luzern
Arzier-Le Muids,9,Lausanne
Ascona,12,Lugano
Assens,9,Lausanne
Astano,12,Lugano
Attalens,19,Fribourg
Attelwil,20,Aarau
Attinghausen,0,Altdorf (UR)
Attiswil,13,Solothurn
Au (SG),21,St. Gallen
Aubonne,9,Lausanne
Auboranges,9,Lausanne
Auenstein,20,Aarau
Augst,3,Basel
Ausserberg,6,Sion
Auswil,16,Bern
Autafond,19,Fribourg
Autigny,19,Fribourg
Auw,4,Luzern
Avegno Gordevio,12,Lugano
Avenches,19,Fribourg
Avers,15,Chur
Avry,19,Fribourg
Avully,10,Genève
Avusy,10,Genève
Ayent,6,Sion
Baar,5,Zürich
Bachenbülach,5,Zürich
Bachs,5,Zürich
Bad Ragaz,21,St. Gallen
Bad Zurzach,20,Aarau
Baden,20,Aarau
Bagnes,6,Sion
Baldingen,20,Aarau
Balerna,12,Lugano
Balgach,21,St. Gallen
Ballaigues,9,Lausanne
Ballens,9,Lausanne
Ballwil,4,Luzern
Balm bei Günsberg,13,Solothurn
Balsthal,13,Solothurn
Baltschieder,6,Sion
Bangerten,16,Bern
Bannwil,13,Solothurn
Barberêche,19,Fribourg
Bardonnex,10,Genève
Bargen (BE),16,Bern
Bargen (SH),22,Schaffhausen
Bas-Intyamon,19,Fribourg
Bas-Vully,19,Fribourg
Basadingen-Schlattingen,23,Frauenfeld
Basel,3,Basel
Basse-Allaine,18,Delémont
Bassersdorf,5,Zürich
Bassins,9,Lausanne
Bauen,0,Altdorf (UR)
Baulmes,9,Lausanne
Bauma,5,Zürich
Bavois,9,Lausanne
Beatenberg,16,Bern
Beckenried,4,Luzern
Bedano,12,Lugano
Bedigliora,12,Lugano
Bedretto,15,Chur
Beggingen,22,Schaffhausen
Begnins,9,Lausanne
Beinwil (Freiamt),20,Aarau
Beinwil (SO),13,Solothurn
Beinwil am See,20,Aarau
Belfaux,19,Fribourg
Bellach,13,Solothurn
Bellevue,10,Genève
Bellikon,20,Aarau
Bellinzona,12,Lugano
Bellmund,16,Bern
Bellwald,6,Sion
Belmont-sur-Lausanne,9,Lausanne
Belmont-sur-Yverdon,9,Lausanne
Belp,16,Bern
Belprahon,18,Delémont
Benken (SG),21,St. Gallen
Benken (ZH),5,Zürich
Bennwil,3,Basel
Bercher,9,Lausanne
Berg (SG),21,St. Gallen
Berg (TG),23,Frauenfeld
Berg am Irchel,5,Zürich
Bergdietikon,20,Aarau
Bergün/Bravuogn,15,Chur
Berikon,20,Aarau
Beringen,22,Schaffhausen
Berken,13,Solothurn
Berlingen,23,Frauenfeld
Bern,16,Bern
Berneck,21,St. Gallen
Bernex,10,Genève
Berolle,9,Lausanne
Beromünster,20,Aarau
Besenbüren,20,Aarau
Bettenhausen,16,Bern
Bettens,9,Lausanne
Bettingen,3,Basel
Bettlach,13,Solothurn
Bettmeralp,6,Sion
Bettwiesen,23,Frauenfeld
Bettwil,20,Aarau
Beurnevésin,18,Delémont
Bevaix,24,La Chaux-de-Fonds
Bever,15,Chur
Bex,6,Sion
Biasca,12,Lugano
Biberist,13,Solothurn
Biberstein,20,Aarau
Bichelsee-Balterswil,23,Frauenfeld
Biel-Benken,3,Basel
Biel/Bienne,16,Bern
Biezwil,13,Solothurn
Biglen,16,Bern
Billens-Hennens,19,Fribourg
Binn,6,Sion
Binningen,3,Basel
Bioggio,12,Lugano
Bioley-Magnoux,9,Lausanne
Bioley-Orjulaz,9,Lausanne
Birmensdorf (ZH),5,Zürich
Birmenstorf (AG),20,Aarau
Birr,20,Aarau
Birrhard,20,Aarau
Birrwil,20,Aarau
Birsfelden,3,Basel
Birwinken,23,Frauenfeld
Bischofszell,23,Frauenfeld
Bissone,12,Lugano
Bister,6,Sion
Bitsch,6,Sion
Bivio,15,Chur
Bière,9,Lausanne
Blatten,6,Sion
Blauen,3,Basel
Bleienbach,16,Bern
Blenio,15,Chur
Blitzingen,6,Sion
Blonay,19,Fribourg
Blumenstein,16,Bern
Bodio,12,Lugano
Bofflens,9,Lausanne
Bogis-Bossey,10,Genève
Bolken,13,Solothurn
Bolligen,16,Bern
Boltigen,16,Bern
Bonaduz,15,Chur
Boncourt,18,Delémont
Bonfol,18,Delémont
Boningen,13,Solothurn
Boniswil,20,Aarau
Bonstetten,5,Zürich
Bonvillars,9,Lausanne
Boppelsen,5,Zürich
Borex,9,Lausanne
Bosco/Gurin,12,Lugano
Bossonnens,19,Fribourg
Boswil,20,Aarau
Bottens,9,Lausanne
Bottenwil,20,Aarau
Botterens,19,Fribourg
Bottighofen,23,Frauenfeld
Bottmingen,3,Basel
Boudry,24,La Chaux-de-Fonds
Bougy-Villars,9,Lausanne
Boulens,9,Lausanne
Bourg-Saint-Pierre,6,Sion
Bourg-en-Lavaux,9,Lausanne
Bournens,9,Lausanne
Bourrignon,18,Delémont
Boussens,9,Lausanne
Bovernier,6,Sion
Bowil,16,Bern
Boécourt,18,Delémont
Braunau,23,Frauenfeld
Bregaglia,15,Chur
