Name,Label,Canton_name
Aadorf,23,Winterthur
Aarau,18,Aarau
Aarberg,9,Biel/Bienne
Aarburg,19,Kriens
Aarwangen,19,Kriens
Abtwil,11,Luzern
Aclens,12,Montreux
Acquarossa,3,Lugano
Adelboden,22,Brig-Glis
Adligenswil,11,Luzern
Adlikon,21,Zürich
Adliswil,21,Zürich
Aedermannsdorf,10,Basel
Aefligen,10,Basel
Aegerten,9,Biel/Bienne
Aesch (BL),10,Basel
Aesch (LU),18,Aarau
Aesch (ZH),21,Zürich
Aeschi (SO),10,Basel
Aeschi bei Spiez,0,Köniz
Aeugst am Albis,21,Zürich
Affeltrangen,23,Winterthur
Affoltern am Albis,21,Zürich
Affoltern im Emmental,19,Kriens
Agarn,22,Brig-Glis
Agiez,15,Gland
Agno,24,Bellinzona
Aigle,22,Brig-Glis
Aire-la-Ville,8,Genève
Airolo,16,Chur
Alberswil,19,Kriens
Albinen,22,Brig-Glis
Albula/Alvra,1,Davos
Alchenstorf,10,Basel
Allaman,15,Gland
Alle,16,Chur
Allmendingen,0,Köniz
Allschwil,10,Basel
Alpnach,25,Baden
Alpthal,11,Luzern
Altbüron,19,Kriens
Altdorf (UR),16,Chur
Altendorf,23,Winterthur
Alterswil,0,Köniz
Altikon,23,Winterthur
Altishofen,19,Kriens
Altnau,23,Winterthur
Alto Malcantone,3,Lugano
Altstätten,23,Winterthur
Altwis,18,Aarau
Amden,23,Winterthur
Amlikon-Bissegg,23,Winterthur
Ammerswil,18,Aarau
Amriswil,23,Winterthur
Amsoldingen,0,Köniz
Andeer,1,Davos
Andelfingen,21,Zürich
Andermatt,16,Chur
Andiast,16,Chur
Andwil (SG),23,Winterthur
Anières,8,Genève
Anniviers,22,Brig-Glis
Anwil,7,Muttenz
Appenzell,23,Winterthur
Apples,8,Genève
Aranno,3,Lugano
Arbaz,13,Sion
Arbedo-Castione,24,Bellinzona
Arboldswil,7,Muttenz
Arbon,23,Winterthur
Arch,10,Basel
Arconciel,0,Köniz
Ardon,13,Sion
Arisdorf,7,Muttenz
Aristau,18,Aarau
Arlesheim,7,Muttenz
Arnex-sur-Nyon,8,Genève
