Name,Label,Canton_name
Aadorf,5,Winterthur
Aarau,20,Zürich
Aarberg,19,Bern
Aarburg,16,Köniz
Aarwangen,16,Köniz
Abtwil,4,Luzern
Aclens,9,Lausanne
Acquarossa,15,Uzwil
Adelboden,16,Köniz
Adligenswil,4,Luzern
Adlikon,23,Frauenfeld
Adliswil,5,Winterthur
Aedermannsdorf,16,Köniz
Aefligen,16,Köniz
Aegerten,16,Köniz
Aesch (BL),3,Basel
Aesch (LU),4,Luzern
Aesch (ZH),5,Winterthur
Aeschi (SO),16,Köniz
Aeschi bei Spiez,16,Köniz
Aeugst am Albis,5,Winterthur
Affeltrangen,21,St. Gallen
Affoltern am Albis,5,Winterthur
Affoltern im Emmental,16,Köniz
Agarn,19,Bern
Agiez,9,Lausanne
Agno,12,Lugano
Aigle,6,Sion
Aire-la-Ville,10,Genève
Airolo,12,Lugano
Alberswil,4,Luzern
Albinen,6,Sion
Albula/Alvra,15,Uzwil
Alchenstorf,16,Köniz
Allaman,9,Lausanne
Alle,18,Delémont
Allmendingen,16,Köniz
Allschwil,3,Basel
Alpnach,16,Köniz
Alpthal,21,St. Gallen
Altbüron,4,Luzern
Altdorf (UR),0,Altdorf (UR)
Altendorf,21,St. Gallen
Alterswil,6,Sion
Altikon,23,Frauenfeld
Altishofen,4,Luzern
Altnau,23,Frauenfeld
Alto Malcantone,12,Lugano
Altstätten,21,St. Gallen
Altwis,4,Luzern
Amden,25,Glarus Nord
Amlikon-Bissegg,21,St. Gallen
Ammerswil,20,Zürich
Amriswil,23,Frauenfeld
Amsoldingen,16,Köniz
Andeer,15,Uzwil
Andelfingen,23,Frauenfeld
Andermatt,16,Köniz
Andiast,15,Uzwil
Andwil (SG),21,St. Gallen
Anières,10,Genève
Anniviers,6,Sion
Anwil,20,Zürich
Appenzell,14,Teufen (AR)
Apples,9,Lausanne
Aranno,12,Lugano
Arbaz,6,Sion
Arbedo-Castione,12,Lugano
Arboldswil,3,Basel
Arbon,23,Frauenfeld
Arch,16,Köniz
Arconciel,19,Bern
Ardon,6,Sion
Arisdorf,3,Basel
Aristau,5,Winterthur
Arlesheim,3,Basel
Arnex-sur-Nyon,10,Genève
Arnex-sur-Orbe,24,La Chaux-de-Fonds
Arni (AG),17,Zug
Arni (BE),16,Köniz
Arogno,12,Lugano
Arosa,15,Uzwil
Arth,21,St. Gallen
Arzier-Le Muids,9,Lausanne
Ascona,12,Lugano
Assens,9,Lausanne
Astano,12,Lugano
Attalens,9,Lausanne
Attelwil,20,Zürich
Attinghausen,21,St. Gallen
Attiswil,16,Köniz
Au (SG),21,St. Gallen
Aubonne,9,Lausanne
Auboranges,19,Bern
Auenstein,3,Basel
Augst,3,Basel
Ausserberg,6,Sion
Auswil,16,Köniz
Autafond,9,Lausanne
Autigny,9,Lausanne
Auw,17,Zug
Avegno Gordevio,12,Lugano
Avenches,19,Bern
Avers,15,Uzwil
Avry,9,Lausanne
Avully,10,Genève
Avusy,10,Genève
Ayent,6,Sion
Baar,17,Zug
Bachenbülach,5,Winterthur
Bachs,20,Zürich
Bad Ragaz,21,St. Gallen
Bad Zurzach,20,Zürich
Baden,20,Zürich
Bagnes,6,Sion
Baldingen,20,Zürich
Balerna,12,Lugano
Balgach,21,St. Gallen
Ballaigues,9,Lausanne
Ballens,9,Lausanne
Ballwil,4,Luzern
Balm bei Günsberg,13,Zuchwil
Balsthal,16,Köniz
Baltschieder,6,Sion
Bangerten,16,Köniz
Bannwil,16,Köniz
Barberêche,16,Köniz
Bardonnex,10,Genève
Bargen (BE),19,Bern
Bargen (SH),5,Winterthur
Bas-Intyamon,19,Bern
Bas-Vully,24,La Chaux-de-Fonds
Basadingen-Schlattingen,23,Frauenfeld
Basel,3,Basel
Basse-Allaine,18,Delémont
Bassersdorf,5,Winterthur
Bassins,9,Lausanne
Bauen,0,Altdorf (UR)
Baulmes,24,La Chaux-de-Fonds
Bauma,5,Winterthur
Bavois,9,Lausanne
Beatenberg,16,Köniz
Beckenried,7,Kriens
Bedano,12,Lugano
Bedigliora,12,Lugano
Bedretto,12,Lugano
Beggingen,5,Winterthur
Begnins,9,Lausanne
Beinwil (Freiamt),17,Zug
Beinwil (SO),16,Köniz
Beinwil am See,20,Zürich
Belfaux,9,Lausanne
Bellach,13,Zuchwil
Bellevue,10,Genève
Bellikon,5,Winterthur
Bellinzona,12,Lugano
Bellmund,16,Köniz
Bellwald,6,Sion
Belmont-sur-Lausanne,9,Lausanne
Belmont-sur-Yverdon,9,Lausanne
Belp,16,Köniz
Belprahon,16,Köniz
Benken (SG),25,Glarus Nord
Benken (ZH),5,Winterthur
Bennwil,3,Basel
Bercher,9,Lausanne
Berg (SG),21,St. Gallen
Berg (TG),23,Frauenfeld
Berg am Irchel,5,Winterthur
Bergdietikon,5,Winterthur
Bergün/Bravuogn,15,Uzwil
Berikon,5,Winterthur
Beringen,5,Winterthur
Berken,13,Zuchwil
Berlingen,23,Frauenfeld
Bern,19,Bern
Berneck,21,St. Gallen
Bernex,10,Genève
Berolle,9,Lausanne
Beromünster,4,Luzern
Besenbüren,5,Winterthur
Bettenhausen,16,Köniz
Bettens,9,Lausanne
Bettingen,3,Basel
Bettlach,16,Köniz
Bettmeralp,6,Sion
Bettwiesen,5,Winterthur
Bettwil,20,Zürich
Beurnevésin,18,Delémont
Bevaix,24,La Chaux-de-Fonds
Bever,15,Uzwil
Bex,6,Sion
Biasca,15,Uzwil
Biberist,16,Köniz
Biberstein,20,Zürich
Bichelsee-Balterswil,5,Winterthur
Biel-Benken,3,Basel
Biel/Bienne,16,Köniz
Biezwil,19,Bern
Biglen,16,Köniz
