Name,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.
Aadorf,6,6,6,25,6,25,6,6,25,6,25,6,25,6,6
Aarau,24,24,24,12,24,24,24,24,24,24,24,24,24,24,24
Aarberg,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Aarburg,12,12,24,12,13,12,12,24,12,12,12,12,24,12,24
Aarwangen,12,12,12,12,8,8,12,12,12,12,12,12,12,12,12
Abtwil,7,24,7,7,24,7,7,16,24,24,7,7,7,7,24
Aclens,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Acquarossa,10,10,10,10,10,10,10,21,10,10,10,10,10,10,10
Adelboden,8,0,0,0,8,0,8,0,0,0,8,0,0,0,0
Adligenswil,7,7,7,7,5,7,7,5,2,7,7,7,7,7,7
Adlikon,6,6,6,6,25,6,6,6,6,6,25,6,6,6,6
Adliswil,6,6,6,6,6,6,6,16,6,6,6,6,6,6,6
Aedermannsdorf,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Aefligen,12,8,8,8,8,8,8,8,8,8,12,8,12,8,12
Aegerten,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8
Aesch (BL),13,13,13,13,13,13,13,13,13,13,12,13,13,13,13
Aesch (LU),24,24,7,24,24,24,7,16,24,24,24,7,24,24,24
Aesch (ZH),24,6,6,24,6,6,6,6,24,24,24,6,6,6,6
Aeschi (SO),12,12,12,8,8,12,8,12,8,8,8,12,12,12,8
Aeschi bei Spiez,8,8,8,8,22,8,8,8,8,8,8,8,8,8,8
Aeugst am Albis,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6
Affeltrangen,25,25,25,25,17,25,25,25,25,25,25,25,25,25,25
Affoltern am Albis,24,6,6,24,24,6,6,6,6,24,7,6,24,6,6
Affoltern im Emmental,8,8,8,8,8,8,8,7,8,8,7,8,8,8,8
Agarn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agiez,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Agno,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aigle,0,0,15,0,15,15,15,0,15,0,0,0,0,0,15
Aire-la-Ville,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Airolo,22,22,10,22,10,10,22,10,17,22,10,22,22,22,22
Alberswil,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7
Albinen,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Albula/Alvra,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Alchenstorf,12,8,12,8,8,12,8,12,8,8,8,12,12,12,12
Allaman,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Alle,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Allmendingen,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Allschwil,13,13,13,13,13,13,13,13,13,13,11,13,13,13,13
Alpnach,7,7,7,7,7,7,7,5,1,7,5,7,7,7,7
Alpthal,2,2,2,2,22,6,2,2,17,2,16,2,2,2,2
Altbüron,7,7,7,7,1,12,7,8,12,7,12,8,7,7,7
Altdorf (UR),22,22,22,22,22,22,22,2,22,22,22,22,2,22,22
Altendorf,2,2,2,2,2,6,17,2,6,2,2,6,2,17,2
Alterswil,14,14,14,14,14,8,14,8,8,14,14,14,14,14,14
Altikon,6,6,6,25,25,25,6,6,6,6,6,6,25,6,6
Altishofen,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7
Altnau,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Alto Malcantone,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Altstätten,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Altwis,7,24,7,24,24,24,7,16,24,24,24,7,7,7,24
Amden,17,17,17,17,17,17,17,17,2,17,17,17,2,17,2
Amlikon-Bissegg,25,25,25,25,17,25,25,25,25,25,25,25,25,25,25
Ammerswil,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Amriswil,25,25,25,25,17,25,25,17,25,25,25,25,25,25,25
Amsoldingen,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Andeer,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Andelfingen,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6
Andermatt,22,22,10,22,10,10,22,10,10,22,10,22,22,22,22
Andiast,21,21,17,21,10,21,21,21,17,21,21,21,21,21,21
Andwil (SG),17,17,17,17,17,17,25,17,17,17,25,17,17,17,17
Anières,20,20,20,20,20,20,20,20,15,20,15,20,20,20,20
Anniviers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anwil,13,24,24,24,13,13,24,24,24,24,13,24,24,24,24
Appenzell,17,17,9,17,17,17,17,17,17,17,17,17,17,17,17
Apples,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Aranno,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arbaz,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0
Arbedo-Castione,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arboldswil,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13
Arbon,17,17,25,17,25,17,25,17,17,17,17,17,17,17,17
Arch,12,8,8,8,12,8,8,8,12,8,12,12,8,8,12
Arconciel,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Ardon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arisdorf,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Aristau,24,24,7,24,24,24,24,24,24,24,24,6,24,24,24
Arlesheim,13,13,11,13,13,13,13,13,13,13,12,13,13,13,13
Arnex-sur-Nyon,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Arnex-sur-Orbe,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Arni (AG),24,6,6,24,24,24,24,6,24,24,24,6,6,6,6
Arni (BE),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Arogno,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arosa,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Arth,7,7,5,7,7,6,2,16,6,2,16,7,7,7,7
Arzier-Le Muids,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ascona,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Assens,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15
Astano,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Attalens,15,15,15,15,14,15,14,14,14,15,15,15,15,15,14
Attelwil,24,24,24,24,24,24,24,24,7,24,24,24,24,24,24
Attinghausen,22,22,22,22,22,22,22,2,17,22,22,22,2,22,22
Attiswil,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Au (SG),17,17,19,17,19,17,17,17,17,19,17,17,17,17,17
Aubonne,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Auboranges,15,15,15,15,14,15,15,14,14,15,15,15,15,15,15
Auenstein,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Augst,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Ausserberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auswil,8,8,8,8,7,8,8,5,8,8,7,8,8,8,8
Autafond,14,14,14,14,14,14,14,14,8,14,14,14,14,14,14
Autigny,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Auw,7,24,7,7,24,7,7,7,7,24,7,7,7,7,24
Avegno Gordevio,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Avenches,14,14,14,14,14,14,14,14,8,14,14,14,14,14,14
Avers,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Avry,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Avully,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Avusy,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ayent,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0
Baar,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bachenbülach,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bachs,6,6,24,6,6,6,6,6,24,6,6,6,6,6,6
Bad Ragaz,21,21,17,17,22,21,21,21,21,17,17,17,21,21,21
Bad Zurzach,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Baden,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Bagnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
