,Name,Score
0,Aeugst am Albis,30.93
1,Affoltern am Albis,33.79
2,Bonstetten,29.1
3,Hausen am Albis,34.94
4,Hedingen,30.11
5,Kappel am Albis,48.62
6,Knonau,32.88
7,Maschwanden,43.38
8,Mettmenstetten,35.67
9,Obfelden,36.17
10,Ottenbach,34.89
11,Rifferswil,30.52
12,Stallikon,40.46
13,Wettswil am Albis,32.09
14,Adlikon,56.82
15,Benken (ZH),43.81
16,Berg am Irchel,50.15
17,Buch am Irchel,51.42
18,Dachsen,32.06
19,Dorf,49.15
20,Feuerthalen,36.59
21,Flaach,50.95
22,Flurlingen,28.05
23,Andelfingen,34.09
24,Henggart,37.78
25,Humlikon,50.01
26,Kleinandelfingen,42.63
27,Laufen-Uhwiesen,39.72
28,Marthalen,47.76
29,Oberstammheim,36.37
30,Ossingen,44.07
31,Rheinau,30.48
32,Thalheim an der Thur,53.99
33,Trüllikon,50.03
34,Truttikon,40.26
35,Unterstammheim,37.28
36,Volken,56.45
37,Waltalingen,43.76
38,Bachenbülach,35.42
39,Bassersdorf,37.11
40,Bülach,35.5
41,Dietlikon,32.0
42,Eglisau,31.87
43,Embrach,40.92
44,Freienstein-Teufen,37.63
45,Glattfelden,45.12
46,Hochfelden,49.15
47,Höri,57.56
48,Hüntwangen,46.07
49,Kloten,43.53
50,Lufingen,44.64
51,Nürensdorf,46.22
52,Oberembrach,52.31
53,Opfikon,39.88
54,Rafz,37.59
55,Rorbas,39.48
56,Wallisellen,35.1
57,Wasterkingen,52.52
58,Wil (ZH),44.08
59,Winkel,44.9
60,Bachs,54.29
61,Boppelsen,40.21
62,Buchs (ZH),47.41
63,Dällikon,48.25
64,Dänikon,47.07
65,Dielsdorf,41.28
66,Hüttikon,53.74
67,Neerach,51.31
68,Niederglatt,48.59
69,Niederhasli,47.3
70,Niederweningen,34.46
71,Oberglatt,45.01
72,Oberweningen,44.72
73,Otelfingen,41.09
74,Regensberg,33.58
75,Regensdorf,47.54
76,Rümlang,46.98
77,Schleinikon,44.18
78,Schöfflisdorf,42.72
79,Stadel,53.19
80,Steinmaur,41.73
81,Weiach,56.72
82,Bäretswil,43.27
83,Bubikon,36.12
84,Dürnten,38.35
85,Fischenthal,55.91
86,Gossau (ZH),38.69
87,Grüningen,43.18
88,Hinwil,43.9
89,Rüti (ZH),31.44
90,Seegräben,33.55
91,Wald (ZH),38.33
92,Wetzikon (ZH),33.89
93,Adliswil,33.37
94,Hirzel,33.61
95,Horgen,31.49
96,Hütten,54.37
97,Kilchberg (ZH),27.21
98,Langnau am Albis,33.21
99,Oberrieden,29.01
